Vuelo,Fecha,Arribo,Cantidad,Farmacéutica
1,23-dic-20,Ciudad de México,2925,Pfizer-BioNTech
2,26-dic-20,Monterrey,8775,Pfizer-BioNTech
3,26-dic-20,Ciudad de México,34125,Pfizer-BioNTech
4,30-dic-20,Ciudad de México,7800,Pfizer-BioNTech
5,05-ene-21,Ciudad de México,44850,Pfizer-BioNTech
6,05-ene-21,Monterrey,8775,Pfizer-BioNTech
7,12-ene-21,Ciudad de México,439725,Pfizer-BioNTech
8,19-ene-21,Monterrey,5850,Pfizer-BioNTech
9,19-ene-21,Ciudad de México,213525,Pfizer-BioNTech
10,14-feb-21,Ciudad de México,870000,AstraZeneca
11,16-feb-21,Monterrey,4875,Pfizer-BioNTech
12,16-feb-21,Ciudad de México,486525,Pfizer-BioNTech
13,20-feb-21,Ciudad de México,200000,Sinovac
14,22-feb-21,Ciudad de México,200000,Sputnik V
15,23-feb-21,Monterrey,125775,Pfizer-BioNTech
16,23-feb-21,Ciudad de México,386100,Pfizer-BioNTech
17,27-feb-21,Ciudad de México,800000,Sinovac
18,02-mar-21,Guadalajara,156000,Pfizer-BioNTech
19,02-mar-21,Monterrey,106275,Pfizer-BioNTech
20,02-mar-21,Ciudad de México,381225,Pfizer-BioNTech
21,02-mar-21,Querétaro,208650,Pfizer-BioNTech
22,09-mar-21,Guadalajara,108225,Pfizer-BioNTech
23,09-mar-21,Monterrey,72150,Pfizer-BioNTech
24,09-mar-21,Ciudad de México,"275, 925",Pfizer-BioNTech
25,09-mar-21,Querétaro,144300,Pfizer-BioNTech
26,10-mar-21,Ciudad de México,200,Sputnik V
27,13-mar-21,Ciudad de México,"1000, 000",Sinovac
28,16-mar-21,Guadalajara,121875,Pfizer-BioNTech
29,16-mar-21,Monterrey,103350,Pfizer-BioNTech
30,16-mar-21,Ciudad de México,217425,Pfizer-BioNTech
31,16-mar-21,Querétaro,225225,Pfizer-BioNTech
32,18-mar-21,Ciudad de México,1000000,Sinovac
33,23-mar-21,Ciudad de México,487500,Pfizer-BioNTech
